iter	MAE
0	1443904.961
1	1393776.478
2	1344635.123
3	1299256.911
4	1259548.271
5	1222869.433
6	1185430.415
7	1151720.777
8	1119390.763
9	1089349.919
10	1061998.408
11	1037819.563
12	1008505.991
13	987903.6687
14	965783.4438
15	944002.8827
16	923245.5528
17	902889.5769
18	885656.1771
19	869982.3564
20	848610.1429
21	835022.3048
22	820679.5602
23	807352.0348
24	795429.0228
25	782810.6653
26	772035.2718
27	758829.9638
28	744658.897
29	732528.9841
30	725952.815
31	719740.3755
32	708475.3642
33	703276.5838
34	695092.6738
35	688978.1813
36	678102.59
37	670852.5878
38	662306.1513
39	656160.9136
40	650745.0555
41	644043.4669
42	639844.8597
43	634739.8471
44	629029.7053
45	622356.052
46	617528.004
47	614285.7839
48	607268.8223
49	600370.8408
50	597794.23
51	593500.8493
52	589013.7728
53	585581.2192
54	581188.9853
55	578225.3227
56	573492.0278
57	570923.1696
58	567560.3557
59	563832.9408
60	558806.7976
61	556011.5477
62	552705.8793
63	549708.702
64	545191.5746
65	543123.5023
66	541814.7588
67	538658.7278
68	536881.6492
69	535019.1722
70	532076.2465
71	529276.6378
72	527387.3816
73	525130.3289
74	521707.4304
75	520579.5202
76	519574.3703
77	516242.5757
78	513467.5064
79	511453.9795
80	508879.1952
81	507555.6117
82	505560.5672
83	502727.0569
84	501687.6144
85	499477.3936
86	498768.6252
87	497529.2401
88	496015.4607
89	493116.4031
90	490755.7222
91	489380.4304
92	487777.6085
93	486551.2522
94	484976.5102
95	482838.086
96	481113.2664
97	480322.8817
98	479572.1205
99	479207.4952
100	478384.6729
101	477304.9917
102	476002.8053
103	474495.6698
104	474033.7613
105	473367.9301
106	472483.1339
107	471793.9995
108	470747.1949
109	470105.6333
110	468570.3519
111	467347.9451
112	466777.939
113	465978.4783
114	465494.7056
115	464312.5857
116	462843.4985
117	461897.9941
118	461040.1949
119	460504.0491
120	459921.3994
121	459296.6677
122	458063.5154
123	456767.1348
124	455125.5162
125	454556.4323
126	454028.0809
127	453204.2937
128	452777.8634
129	452262.8345
130	450978.8252
131	450193.9717
132	449850.8048
133	449290.7477
134	448738.6401
135	448301.5446
136	447090.1119
137	446180.2124
138	445410.9784
139	444244.7623
140	443907.3247
141	442707.5524
142	442394.9922
143	441249.1579
144	440713.8219
145	439195.2489
146	438851.508
147	438352.8814
148	437395.0593
149	436683.0883
150	436122.9402
151	435680.7911
152	434948.7235
153	434487.5887
154	434120.6204
155	433266.6385
156	432294.3332
157	431945.2114
158	431260.6746
159	430697.334
160	430135.3046
161	429465.2044
162	429196.6134
163	428757.9856
164	427988.8817
165	427051.4154
166	426567.8305
167	426352.7192
168	425772.4015
169	425236.9924
170	424518.1167
171	423768.1312
172	422846.849
173	422245.7268
174	421648.5699
175	420898.378
176	420048.7773
177	418902.2992
178	418537.8034
179	417666.1081
180	417259.8488
181	416771.3303
182	416342.4671
183	415406.2274
184	414505.8101
185	413737.0706
186	413375.47
187	412550.5468
188	412089.889
189	411780.3609
190	411332.5392
191	411098.2387
